code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
9A,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/dist/index.js#L1342
API,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/package-lock.json#L4388
BAZ,repo,README.md,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/__tests__/main.test.ts#L40
CONCURRENCY,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/main.ts#L88
DRY_RUN,repo,README.md,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,21,21,21,21,22,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/main.ts#L78
FOO,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,29,29,29,29,29,29,29,43,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/__tests__/secrets.test.ts#L29
FOOBAR,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/.github/workflows/release.yml#L38
False,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/dist/index.js#L3793
GITHUB_API_URL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,17,17,20,20,20,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/main.ts#L45
GITHUB_TOKEN,repo,README.md,13,13,13,13,13,13,13,13,13,13,12,12,13,12,12,13,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/README.md,https://github.com/google/secrets-sync-action/blob/1aba26186faff097670be531629ddc90bf8207de/src/main.ts#L44
