code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
EMAIL,repo,README.md,1,1,1,1,1,1,1,1,1,1,2,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L55
GitHub,repo,README.md,6,6,6,6,6,5,6,6,6,6,6,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L96
ID,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L74
PR,repo,README.md,11,11,11,11,11,11,12,12,12,12,12,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L76
PROGRAM,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L67
PULL_REQUEST_MAILER_OAUTH_TOKEN,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L42
PULL_REQUEST_MAILER_SECRET_TOKEN,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L47
REPO,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L99
STRING,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L81
TOKEN,repo,README.md,1,1,1,1,0,0,0,-,-,-,-,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/3500eb933584fcade5dc1405a68fefacb394a0eb/src/Github/PullRequests/Emailer/Opts.hs#L49
USER,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pull-request-mailer/blob/781ccea8bfb89973f340c7660809f74ce25b4004/README.md,https://github.com/google/pull-request-mailer/blob/63b15fb82fab339976aca1e8f2e48203d63b4cb2/src/Github/PullRequests/Mailer/Opts.hs#L95
