code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
$ANDROID_SDK_PATH,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/third_party/build/build_all.sh#L8
.build(),repo,README.md,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/asr/cloud/TimestampCalculator.java#L101
.setAllowVbr(true),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/MainActivity.java#L182
.setEnableEncoder(true),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/MainActivity.java#L181
16kHz,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/StreamingAudioEncoder.java#L98
AMR,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/StreamingAudioEncoder.java#L38
ANDROID_SDK_PATH,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/build_all.sh#L24
API,repo,README.md,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/res/values/strings.xml#L4
ASR,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/asr/cloud/TimestampCalculator.java#L76
CloudSpeechSession,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/README.md,https://github.com/google/live-transcribe-speech-engine/blob/ce647b2992604b38099b6cd7a8fdcf80575848ff/app/src/main/java/com/google/audio/asr/cloud/CloudSpeechStreamObserver.java#L44
