code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
$OsAdmin,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/gather_audit_logs.sh#L18
AMT,repo,README.md,4,4,4,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L25
AuditAppID,repo,README.md,3,3,3,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L45
EventID,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L139
ExtendedData,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L185
ExtendedDataLength,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L178
HTTP_DIGEST,repo,README.md,2,2,2,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L34
InitType,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L140
LMS,repo,README.md,2,2,2,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/lms.patch#L8
LOCAL_INITIATOR,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L36
MCLocationType,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L166
NETWORK_TIME_APPID,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L51
NONE,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L42
NetAddress,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L174
NetAddressLength,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L167
SECURITY_ADMIN_APPID,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L46
TimeStamp,repo,README.md,2,2,2,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L160
TimeStamp_readable,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L165
UsernameLength,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/decode_amt_auditlog.py#L145
amt_local_sys_account,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/gather_audit_logs.sh#L19
decode_amt_auditlog,repo,README.md,1,1,1,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/README.md,https://github.com/google/amt-forensics/blob/132d68239ef20242c4bcd45526cd05cc1c4d0986/gather_audit_logs.sh#L36
