code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,doc_link,source_link
$HOME,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,0,0,0,0,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L43
.0.write(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L162
.run(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,16,16,16,22,22,22,22,22,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L31
.spawn(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,1,3,3,3,3,3,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L90
.unwrap(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,47,47,47,47,47,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L31
.wait(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L167
?,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,28,28,28,28,29,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/tests/shell_tests.rs#L52
HOME,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,1,1,1,1,1,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L43
OK,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,3,3,3,3,3,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/src/lib.rs#L74
Ok(()),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,12,12,12,12,-,-,-,-,-,https://github.com/google/rust-shell/blob/8b1e775b09c133c9bfbfbb9be2e3a2b2f4219682/README.md,https://github.com/google/rust-shell/blob/e06535a4291f2969abd8ed99099023c6d6d33f00/tests/shell_tests.rs#L39
