code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
ANY,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L147
AS,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L146
BASIS,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L146
CONDITIONS,repo,README.md,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L6
GitHub,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/docs/contributing.md#L21
IS,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L146
KIND,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L147
LICENSE,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L196
OF,repo,README.md,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L147
OR,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L147
README,repo,README.md,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/.github/PULL_REQUEST_TEMPLATE.md#L6
TempDir,repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/combine/combine_test.go#L32
WARRANTIES,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L147
WITHOUT,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/3eaacf8fc36e7edc0625323c8c8e1c3abc994357/LICENSE#L147
chrome://tracing,repo,README.md,-,-,-,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,12,12,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/traceinternal/traceinternal.go#L15
os.TempDir(),repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/chrometracing.go#L74
trace_event,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/README.md,https://github.com/google/chrometracing/blob/9b2483a9dc7d98b69f517f48260ecdc4a9102ef3/chrometracing.py#L16
