code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,doc_link,source_link
.frag,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.py#L255
.vert,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.py#L256
2,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/LICENSE#L3
3,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.py#L101
ANGLE,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.py#L19
CSS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.sublime-settings#L19
ES,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.sublime-settings#L18
ESSL,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.py#L181
GL,repo,README.md,-,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,7,7,7,6,6,6,6,6,6,6,6,6,6,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/Main.sublime-menu#L11
GLSL,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.sublime-settings#L18
GLShaderValidator,repo,README.md,6,6,6,6,6,7,7,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/GLShaderValidator.py#L87
GLShaderValidator.sublime-settings,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/GL-Shader-Validator/blob/9f343c5a34fab3c84a42dca3a5d098df126ce496/README.md,https://github.com/google/GL-Shader-Validator/blob/6462114ae379d5bee9fecce9ccc07bdc6d782f20/Main.sublime-menu#L34
