code_element,page_type,page_name,rev_1,doc_link,source_link
./build.sh,repo,README.md,1,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/README.md,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/.travis.yml#L15
./clean.sh,repo,README.md,1,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/README.md,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/.travis.yml#L14
MyTokenReader,repo,README.md,3,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/README.md,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/src/com/google/codeu/mathlang/testing/Tester.java#L73
TokenReader,repo,README.md,8,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/README.md,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/src/com/google/codeu/mathlang/testing/Tester.java#L27
com.google.codeu.mathlang.impl.MyTokenReader,repo,README.md,1,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/README.md,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/src/com/google/codeu/mathlang/testing/Tester.java#L25
run.sh,repo,README.md,1,https://github.com/google/codeu_coding_assessment_b_2017/blob/b6bc52441622fa1fe633d877c4e929e64243740e/README.md,code_element is a file name
