code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
!,repo,README.md,23,28,23,23,23,23,22,22,22,22,21,21,21,21,21,21,21,21,25,29,30,28,28,28,28,28,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L215
!=,repo,README.md,29,28,27,27,27,27,29,29,29,29,29,29,29,29,29,29,29,29,31,31,31,29,32,32,32,32,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L576
"""...""",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/main/java/com/google/escapevelocity/Parser.java#L1208
"""foo""",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,36,36,36,36,36,36,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L199
"""this""",repo,README.md,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/89ea4ddf7f3d0005543fb740481eeb0dc5cddac9/src/main/java/com/google/escapevelocity/README.md#L170
#,repo,README.md,50,90,72,72,72,72,69,69,69,69,71,72,72,72,72,72,72,73,73,74,74,74,74,74,74,74,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L188
##,repo,README.md,37,37,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L183
#else,repo,README.md,22,23,18,18,18,18,19,19,19,19,23,23,23,23,23,23,23,23,23,25,27,28,28,28,28,28,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L538
#elseif,repo,README.md,16,16,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L781
#foreach,repo,README.md,25,25,13,13,13,13,16,16,16,16,20,20,20,20,20,20,20,20,20,21,21,21,25,25,25,25,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L530
#hello(),repo,README.md,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/89ea4ddf7f3d0005543fb740481eeb0dc5cddac9/src/main/java/com/google/escapevelocity/README.md#L274
#if,repo,README.md,49,51,35,35,35,35,36,36,36,39,35,35,35,35,35,35,35,35,36,45,45,46,46,46,46,46,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L493
#parse,repo,README.md,-,-,14,14,14,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/README.md,https://github.com/google/escapevelocity/blob/b201b070f95a231ce1308659705df2f736dd1d82/src/test/java/com/google/escapevelocity/TemplateTest.java#L1186
