code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
/static,repo,README.md,1,1,1,1,1,1,1,1,1,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/vsaq/static/questionnaire/templates.soy#L167
JS,repo,README.md,2,2,2,3,3,3,3,3,3,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/do.sh#L65
JSON,repo,README.md,21,21,31,31,31,31,31,31,31,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/vsaq/static/utils.js#L128
VSAQ,repo,README.md,33,33,33,36,36,36,36,36,36,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/vsaq_server.py#L15
build,repo,README.md,63,63,63,62,62,62,62,62,62,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/vsaq_server.py#L34
build/,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/vsaq_server.py#L42
build_docs,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/do.sh#L306
build_prod,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/do.sh#L285
build_templates,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/do.sh#L288
check_deps,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/do.sh#L276
clean_deps,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/do.sh#L297
client_side_only_impl,repo,README.md,3,3,3,3,3,3,3,3,3,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/third_party/docs-build/dossier-config.json#L3
do.sh,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/vsaq_server.py#L33
install_deps,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/do.sh#L46
loadAnswersFromServer_,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/client_side_only_impl/vsaq_main.js#L27
run,repo,README.md,14,14,14,14,14,14,14,14,14,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/questionnaires/webapp.json#L898
submitQuestionnaireToServer_,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/client_side_only_impl/vsaq_main.js#L26
test_template,repo,README.md,3,3,3,3,3,3,3,3,3,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/client_side_only_impl/vsaq.html#L64
vsaq_main.js,repo,README.md,3,3,3,3,3,3,3,3,3,https://github.com/google/vsaq/blob/36d72325bfeaf669cbefe5fe7019755f7e43bb77/README.md,https://github.com/google/vsaq/blob/366d670e7e2a544166f74182e1093e6162786eb7/client_side_only_impl/vsaq_main.js#L21
