code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,doc_link,source_link
CI,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/doc/chocolatey.md#L10
CLI,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/test/npm_test.dart#L252
ConfigVariable,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/test/config_variable_test.dart#L173
GitHub,repo,README.md,-,-,-,-,-,31,31,31,31,31,31,31,31,31,31,35,35,35,35,36,36,36,36,37,37,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,42,52,52,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,53,53,53,53,55,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/test/homebrew_test.dart#L376
JavaScript,repo,README.md,-,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/lib/src/npm.dart#L49
addAllTasks,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/lib/cli_pkg.dart#L34
cli_pkg,repo,README.md,-,-,-,-,-,18,29,29,30,36,38,38,38,38,38,53,53,53,53,54,107,107,107,107,111,111,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,115,115,115,115,116,116,116,118,118,118,118,119,119,119,119,119,119,119,119,119,119,119,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/test/descriptor.dart#L29
dart_cli_pkg,repo,README.md,-,-,-,-,-,29,39,39,39,45,47,47,48,48,48,59,59,59,60,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/faf92b05f339fd284c089e796dd89a8dbe8e4698/test/standalone_test.dart#L209
githubReleaseNotes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/test/github_test.dart#L350
grind(args),repo,README.md,-,-,-,-,-,8,13,13,14,14,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,22,22,23,23,23,23,25,25,25,25,25,25,25,25,25,https://github.com/google/dart_cli_pkg/blob/ec40ce0b0cb46ab1bf10978f88da8edcaec88a36/README.md,https://github.com/google/dart_cli_pkg/blob/c96871efe4b8ec79089b45c2632b82e2da7ca30d/test/testing_test.dart#L38
