code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,doc_link,source_link
/api/v1/blobs/get,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/api/api.go#L21
/api/v1/blobs/put,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/api/api.go#L22
API,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/raw.go#L41
DAG,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/68d28c748fa92e67bf2a27e62f4c15e1ed333947/main.go#L118
GET,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/templates/index.tmpl#L20
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/docs/contributing.md#L21
HTTP,repo,README.md,-,-,0,0,0,0,2,2,2,2,2,2,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/nodeservice/remote.go#L69
JSON,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,13,13,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/templates/browse.tmpl#L167
POST,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/templates/browse.tmpl#L166
PUT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ent/blob/5f23bbd8c7645a4ba4b0762266474e346607a7a6/README.md,https://github.com/google/ent/blob/57ab28775492ea1630c89696816c8b533d8204d8/main.go#L197
