code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,doc_link,source_link
all((n),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/example/main.dart#L10
basics,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/c63e0ee87b4e2b611dacd0e248707426f6038534/test/string_basics_test.dart#L5
delayed(500.milliseconds),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/example/main.dart#L18
isEven,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/example/main.dart#L10
isNotNull,repo,README.md,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/0266aeecc535df430fbc9538ea2763b1738f33dd/test/object_basics_test.dart#L63
isNull,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,33,33,33,36,36,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/0266aeecc535df430fbc9538ea2763b1738f33dd/test/set_basics_test.dart#L228
main(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,9,9,9,9,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/test/string_basics_test.dart#L8
package:basics,repo,README.md,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,9,9,9,9,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/test/string_basics_test.dart#L5
print('All numbers are even.'),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/example/main.dart#L11
print('sum of numbers is: ${numbers.sum(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/example/main.dart#L14
print('waiting 500 milliseconds...'),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/dart-basics/blob/cb646f8ca1c0ac9d88699e24c960937e00ec1212/README.md,https://github.com/google/dart-basics/blob/a0a782ea4cc5a11cd10714bf575323077513fb80/example/main.dart#L17
