code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
Chatbase,repo,README.md,.,.,-,-,-,-,-,-,96,96,-,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/9f265e7181802dc7643c95d65d64f95eadd0ff4a/Chatbase/MessageSet.cs#L19
Chatbase.Client(),repo,README.md,.,.,7,7,7,7,7,7,7,7,7,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase.Tests/Client.cs#L45
Chatbase.FBAgentMessage(),repo,README.md,.,.,4,4,4,4,4,4,4,4,4,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase.Tests/FBAgentMessage.cs#L36
Chatbase.FBUserMessage(),repo,README.md,.,.,2,2,2,2,2,2,2,2,2,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase.Tests/FBUserMessage.cs#L27
Chatbase.Message(),repo,README.md,.,.,5,5,5,5,5,5,5,5,5,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase.Tests/Message.cs#L26
FBAgentMessage,repo,README.md,.,.,33,33,33,33,33,33,33,33,33,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase/FBAgentMessageSet.cs#L22
FBAgentMessageSet,repo,README.md,.,.,10,10,10,10,10,10,10,10,10,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase/FBAgentMessageSet.cs#L25
FBUserMessage,repo,README.md,.,.,29,29,29,29,29,29,29,29,29,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase/FBUserMessageSet.cs#L22
FBUserMessageSet,repo,README.md,.,.,10,10,10,10,10,10,10,10,10,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase/FBUserMessageSet.cs#L25
MessageSet,repo,README.md,.,.,10,10,10,10,10,10,10,10,10,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/README.md,https://github.com/google/chatbase-dotnet/blob/c42c165c15c3a7f9e99412aa01fcd3e0175ae8ab/Chatbase/MessageSet.cs#L25
