code_element,page_type,page_name,rev_1,doc_link,source_link
00B,repo,README.md,2,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L36
128B,repo,README.md,1,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L41
208B,repo,README.md,1,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L43
320B,repo,README.md,4,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L37
ByteMap,repo,README.md,9,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L26
ByteSliceMap,repo,README.md,18,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L55
CLA,repo,README.md,2,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/CONTRIBUTING.md#L9
"Get([]rune{'f', 'o', 'o'})",repo,README.md,5,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/runemap_test.go#L34
GetByteMap20,repo,README.md,6,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L26
GetRuneMap20,repo,README.md,6,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L28
"GetString(""bar"")",repo,README.md,1,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/examples_test.go#L32
"GetString(""baz"")",repo,README.md,1,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/examples_test.go#L35
LICENSE,repo,README.md,9,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/runemap_test.go#L7
"Put([]rune{'b', 'a', 'r'}, 456)",repo,README.md,1,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/examples_test.go#L27
PutByteMap20,repo,README.md,6,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L30
PutRuneMap20,repo,README.md,6,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L32
"PutString(""foo"", 123)",repo,README.md,1,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/examples_test.go#L26
RuneMap,repo,README.md,9,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/runemap.go#L28
RuneSliceMap,repo,README.md,20,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/runemap_test.go#L22
StdMap,repo,README.md,16,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L27
[]byte,repo,README.md,22,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/doc.go#L15
[]rune,repo,README.md,19,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/runemap_test.go#L23
string,repo,README.md,43,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/README.md,https://github.com/google/triemap/blob/04f4574f648bb48efed66076f0d2532086b0100b/runemap.go#L23
